text,label,type_of_problem
"Brilliant, the slides loaded without images.",sarcastic,sarcasm
"After the upgrade finished, tests started failing.",temporal,discourse_relations
Amit praised Priya as he solved the issue quickly.,second_mention,coreference_anaphora
He wrote a parser in Java for the assignment.,java_LANGUAGE,wsd
"Before the talk began, the slides were updated.",temporal,discourse_relations
"The model is accurate, but it is slow.",contrast,discourse_relations
Kavya praised Arun as she solved the issue quickly.,second_mention,coreference_anaphora
Amit argued with Anita since he missed the deadline.,first_mention,coreference_anaphora
He wrote a parser in Java for the assignment.,java_LANGUAGE,wsd
Kavya emailed Arun when she reached the office.,second_mention,coreference_anaphora
Apple announced new laptops at the event.,apple_COMPANY,wsd
We sipped hot java during the break.,java_COFFEE,wsd
I can't recommend this approach.,negated,negation_modality
Neha praised Kunal as she solved the issue quickly.,second_mention,coreference_anaphora
"Before the talk began, the slides were updated.",temporal,discourse_relations
The model is better than before.,none,negation_modality
The slides loaded correctly on the projector.,not_sarcastic,sarcasm
A crane stood quietly by the lake at dawn.,crane_BIRD,wsd
The experiment produced stable results.,clean,oov
Kavya called Amit after she finished the report.,second_mention,coreference_anaphora
The experiment produced stable results.,clean,oov
Kavya argued with Ravi since she missed the deadline.,second_mention,coreference_anaphora
It never converged on the small dataset.,negated,negation_modality
The bank raised lending rates this quarter.,bank_FINANCE,wsd
Apple announced new laptops at the event.,apple_COMPANY,wsd
We sipped hot java during the break.,java_COFFEE,wsd
Anita argued with Arun since she missed the deadline.,second_mention,coreference_anaphora
We used qdrnt vecdb—super snappy,oov,oov
The model is better than before.,none,negation_modality
She bought a fresh apple at the market.,apple_FRUIT,wsd
Neha argued with Arun since she missed the deadline.,second_mention,coreference_anaphora
We picnicked on the bank and watched the boats.,bank_RIVER,wsd
The model is better than before.,none,negation_modality
"Although the interface is simple, new users struggle.",contrast,discourse_relations
The crane lifted the steel beams into place.,crane_MACHINE,wsd
"The model is accurate, but it is slow.",contrast,discourse_relations
The crane lifted the steel beams into place.,crane_MACHINE,wsd
The fix might improve latency.,possible,negation_modality
Kunal praised Maya as he solved the issue quickly.,second_mention,coreference_anaphora
He wrote a parser in Java for the assignment.,java_LANGUAGE,wsd
The model is better than before.,none,negation_modality
We installed the required packages.,clean,oov
"The model is accurate, but it is slow.",contrast,discourse_relations
We sipped hot java during the break.,java_COFFEE,wsd
We installed the required packages.,clean,oov
The model is better than before.,none,negation_modality
Thanks for the timely hotfix.,not_sarcastic,sarcasm
"The model is accurate, but it is slow.",contrast,discourse_relations
Performance improved after refactoring.,clean,oov
"Although the interface is simple, new users struggle.",contrast,discourse_relations
Kavya praised Rahul as she solved the issue quickly.,second_mention,coreference_anaphora
Riya argued with Arun since she missed the deadline.,second_mention,coreference_anaphora
Priya praised Amit as she solved the issue quickly.,second_mention,coreference_anaphora
"Although the interface is simple, new users struggle.",contrast,discourse_relations
Neha praised Kunal as she solved the issue quickly.,first_mention,coreference_anaphora
Kavya called Kunal after she finished the report.,first_mention,coreference_anaphora
Riya thanked Amit because she fixed the bug.,second_mention,coreference_anaphora
Rahul praised Maya as he solved the issue quickly.,second_mention,coreference_anaphora
They will re-run the experiment tomorrow.,none,negation_modality
Performance improved after refactoring.,clean,oov
We could deploy by Friday.,possible,negation_modality
They will re-run the experiment tomorrow.,none,negation_modality
