text,label,type_of_problem
It never converged on the small dataset.,ham,negation_modality
"Even though it was late, they kept debugging.",ham,discourse_relations
The fix could improve latency.,ham,negation_modality
You should not remove the validation split.,ham,negation_modality
We sipped hot java during the break.,ham,wsd
FREE gift 🎁 limited time!! go: https://gift.example/857,spam,oov
Exactly what I wanted—more flaky tests.,ham,sarcasm
The model is not better than the baseline.,ham,negation_modality
"If the GPU overheats, the training will stop.",ham,discourse_relations
"Build baar baar fail ho raha hai, yaar.",ham,oov
We may postpone the release until Monday.,ham,negation_modality
She bought a fresh apple at the market.,ham,wsd
"Great, another crash—just what I needed.",ham,sarcasm
"Before the talk began, the slides were updated.",ham,discourse_relations
FR33 access 2 premium vids ➜ https://gift.example/291,spam,oov
Sara thanked Arun because she fixed the bug.,ham,coreference_anaphora
Access may be suspended unless you renew: https://pay.example/401,spam,negation_modality
FR33 access 2 premium vids ➜ https://dealz.example/902,spam,oov
Apple giveaway—claim your laptop now: https://dealz.example/711,spam,wsd
Model output thoda weird lag raha hai.,ham,oov
Isha praised Kunal as he qualified for a reward: https://promo.example/640,spam,coreference_anaphora
"Perf spiked on dataset_z13b, investigating.",ham,oov
"If the GPU overheats, the training will stop.",ham,discourse_relations
Neha called Nikhil after he finished the report.,ham,coreference_anaphora
Fantastic job breaking the build again.,ham,sarcasm
Riya called Amit since she ignored the alert—fix: https://air.example/651,spam,coreference_anaphora
He tuned the bass before the concert.,ham,wsd
"Great, another crash—just what I needed.",ham,sarcasm
We improved throughput since the cache was tuned.,ham,discourse_relations
Brilliant offer: absolutely free if you pay shipping: https://verify.example/535,spam,sarcasm
"Although the interface is simple, new users struggle.",ham,discourse_relations
Win a free bass guitar! Confirm shipping: https://gift.example/310,spam,wsd
Anita called Arun after she finished the report.,ham,coreference_anaphora
Yeh feature kaafi helpful tha.,ham,oov
He tuned the bass before the concert.,ham,wsd
Neha handed the laptop to Amit while she packed the cables.,ham,coreference_anaphora
Neha thanked Kunal because he fixed the bug.,ham,coreference_anaphora
"Perfect, another exclusive deal just for you—totally not urgent: https://secure.example/883",spam,sarcasm
"Great, another crash—just what I needed.",ham,sarcasm
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
Anita argued with Vikram since he missed the deadline.,ham,coreference_anaphora
Isha emailed Kunal when he reached the office.,ham,coreference_anaphora
Apple giveaway—claim your laptop now: https://dealz.example/527,spam,wsd
You must verify now or the account may be locked: https://pay.example/259,spam,negation_modality
"Even though it was late, they kept debugging.",ham,discourse_relations
We sipped hot java during the break.,ham,wsd
You must include error bars in the report.,ham,negation_modality
Anita handed the laptop to Rahul while she packed the cables.,ham,coreference_anaphora
He tuned the bass before the concert.,ham,wsd
We might deploy on Friday if tests pass.,ham,negation_modality
"Build baar baar fail ho raha hai, yaar.",ham,oov
"Because the dataset was noisy, the accuracy dropped.",ham,discourse_relations
"Java course 65% OFF, enroll today: https://dealz.example/266",spam,wsd
new v1agra dealz 90%OFF 👉 https://secure.example/793,spam,oov
"Perfect, another exclusive deal just for you—totally not urgent: https://pay.example/473",spam,sarcasm
Sara called Amit since she ignored the alert—fix: https://bank.example/365,spam,coreference_anaphora
Riya handed the laptop to Sanjay while he packed the cables.,ham,coreference_anaphora
Fantastic job breaking the build again.,ham,sarcasm
"If the GPU overheats, the training will stop.",ham,discourse_relations
"Brilliant, the slides loaded without images.",ham,sarcasm
We might deploy on Friday if tests pass.,ham,negation_modality
We may postpone the release until Monday.,ham,negation_modality
The crane lifted the steel beams into place.,ham,wsd
FR33 access 2 premium vids ➜ https://verify.example/885,spam,oov
The fix could improve latency.,ham,negation_modality
We picnicked on the bank and watched the boats.,ham,wsd
Bank alert: verify identity to avoid hold: https://air.example/671,spam,wsd
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
They grilled the bass with lemon and herbs.,ham,wsd
Apple giveaway—claim your laptop now: https://verify.example/310,spam,wsd
"Brilliant, the slides loaded without images.",ham,sarcasm
You should not remove the validation split.,ham,negation_modality
We picnicked on the bank and watched the boats.,ham,wsd
Fantastic job breaking the build again.,ham,sarcasm
Model output thoda weird lag raha hai.,ham,oov
She bought a fresh apple at the market.,ham,wsd
"Although the interface is simple, new users struggle.",ham,discourse_relations
It never converged on the small dataset.,ham,negation_modality
Neha praised Ravi as she solved the issue quickly.,ham,coreference_anaphora
Slides updated—see v2.1 notes 👍,ham,oov
"After verification, your prize will be released: https://verify.example/464",spam,discourse_relations
Wonderful timing to push a hotfix at midnight.,ham,sarcasm
Sara thanked Vikram because she fixed the bug.,ham,coreference_anaphora
We may postpone the release until Monday.,ham,negation_modality
"Oh perfect, the network died during the demo.",ham,sarcasm
Isha praised Sanjay as she solved the issue quickly.,ham,coreference_anaphora
You must update billing immediately: https://bank.example/335,spam,negation_modality
Neha emailed Vikram when he reached the office.,ham,coreference_anaphora
"Although the interface is simple, new users struggle.",ham,discourse_relations
We may postpone the release until Monday.,ham,negation_modality
Slides updated—see v2.1 notes 👍,ham,oov
"Brilliant, the slides loaded without images.",ham,sarcasm
We improved throughput since the cache was tuned.,ham,discourse_relations
The model is not better than the baseline.,ham,negation_modality
